x,y,z
-0.11913,-0.447739,-0.36658
-0.0558745,0.303649,0.294185
-0.17288,0.300354,0.1109
-0.285462,0.0406145,0.233548
-0.352705,0.0225229,0.362175
-0.851828,0.233964,0.378447
-0.210789,0.277499,-0.262348
-0.376376,-0.118975,0.584607
0.0719983,-0.025949,0.192793
-0.285613,-0.274703,0.247321
0.108771,-0.122381,-0.665142
-0.168829,0.0299078,0.340245
-0.128183,-0.165647,0.18331
0.00259007,-0.0714878,-0.0581619
-0.309247,-0.0501393,-0.0392545
-0.0823262,0.137644,-0.555751
0.0485721,-0.175187,0.395032
-0.174149,0.198203,0.1515
0.122668,-0.193676,-0.100738
0.208247,-0.370075,0.279791
0.187431,-0.597446,0.438847
-0.802229,0.0202596,0.568584
-0.651653,0.30464,0.37736
-0.647101,0.194805,-0.191788
-0.0860878,0.0476386,0.0328422
-0.00133918,0.0589239,0.943363
0.641378,0.389155,0.454081
0.0299046,-0.450247,0.679745
0.149434,0.051144,0.236376
-0.045675,0.132405,0.103713
-0.0826636,-0.02879,0.615619
-0.166635,0.359973,0.390961
0.406563,-0.410541,0.843087
-0.687127,0.300044,0.459763
-0.0241741,0.187244,0.39694
-0.0866792,-0.136694,0.278114
0.0991002,-0.063007,-0.376797
0.00332807,0.146348,0.207413
-0.00207871,0.234545,-0.236805
0.106526,-0.059008,0.339824
0.713794,0.0613707,0.334764
-0.0940743,-0.578868,0.228913
-0.338824,-0.379425,0.562713
0.27909,0.120756,0.775235
-0.0900408,-0.668793,-0.133022
0.11972,0.212231,0.826032
-0.444418,-0.180192,-0.467964
-0.00922928,0.312421,0.419045
0.168838,0.0370107,0.102162
0.485168,-0.562118,-0.0910869
0.124213,0.366808,0.798286
-0.387323,0.233034,-0.414175
-0.168216,0.161756,-0.580263
0.063261,-0.215088,0.510345
0.0624494,-0.195204,0.29954
0.155388,0.0668987,0.2297
-0.147248,-0.191079,-0.405524
0.196389,0.124161,0.219706
-0.0182506,-0.34868,-0.228822
-0.0849348,-0.261689,-0.0233715
0.0738139,-0.674577,-0.00248595
0.220377,0.550171,0.3134
0.105273,0.0647934,0.321637
-0.294623,0.102051,0.446906
-0.197758,-0.287212,0.256894
-0.524937,-0.165098,-0.445947
-0.0790957,-0.0829147,-0.358503
-0.249242,0.0958751,0.140585
-0.202305,0.0593494,0.00269166
0.122185,0.104394,-0.608363
-0.109946,0.33389,-0.515573
0.391873,-0.210848,-0.355578
0.407329,-0.242813,-0.126303
-0.270593,-0.661855,0.41878
0.485559,-0.138182,0.155013
0.104571,-0.127273,-0.220099
0.488877,-0.46568,0.150152
-0.0299988,-0.0230399,0.172994
0.567127,-0.0415419,0.472723
0.0987534,0.066231,0.851912
-0.465967,-0.407664,-0.161216
-0.0713861,0.236779,0.873401
-0.137608,0.143567,0.565808
0.430672,-0.0423805,-0.0513289
-0.0313018,0.0190469,0.0921844
0.65871,0.0905634,0.38583
-0.0774361,-0.306415,-0.461819
-0.124125,-0.313257,-0.209511
0.00489252,-0.81413,0.0628397
-0.411145,-0.820441,0.426748
0.179773,0.124977,-0.214186
-0.648968,-0.318319,0.400743
-0.0100501,-0.104211,0.135485
-0.0295638,-0.0518459,0.285563
0.533831,-0.117269,0.619945
0.339878,0.218375,-0.252179
0.122454,-0.200844,0.182379
-0.227141,-0.479623,-0.390091
-0.0240442,0.13744,0.383112
-0.318802,-0.121869,0.946979
-0.167489,-0.209182,-0.243067
-0.253141,-0.116572,-0.340391
-0.202471,-0.0638457,0.287159
-0.0530449,0.0382696,0.00556202
-0.0528032,0.658949,-0.112374
-0.142364,0.562725,0.723997
-0.297005,0.272655,0.0317293
-0.0279883,0.0988086,0.759681
-0.370251,0.0689654,0.0598905
0.14289,-0.200647,0.196691
0.385728,-0.146586,0.483956
-0.140306,-0.276696,0.169186
-0.18565,0.035794,0.113016
